,id,slug,url,name,tags,state,category,description,age,gender,caste,is_minority,is_differently_abled,is_dbt,is_widowed_or_divorced,is_bpl,is_student,occupation
0,1,pmgsy,https://www.myscheme.gov.in/schemes/pmgsy,Pradhan Mantri Gram Sadak Yojana,"Road,Rural",All,"Agriculture,Rural & Environment,Transport & Infrastructure","With the objective of providing rural connectivity, the Government of India launched the Pradhan Mantri Gram Sadak Yojana (referred to as PMGSY-I hereinafter) on 25th December 2000 to provide all-weather access to eligible unconnected habitations.","{""ews"":{""gte"":0,""lte"":100},""female"":{""gte"":0,""lte"":100},""general"":{""gte"":0,""lte"":100},""obc"":{""gte"":0,""lte"":100},""sc"":{""gte"":0,""lte"":100},""st"":{""gte"":0,""lte"":100},""widowed"":{""gte"":0,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
1,2,rrsdmsmecpu,https://www.myscheme.gov.in/schemes/rrsdmsmecpu,Revival and Rehabilitation Scheme for Defunct MSMEs and Cashew Processing Units,"Revival,Rehabilitation,Defunct MSME,Cashew Unit,Financial Assistance,Entrepreneur",Kerala,Business & Entrepreneurship,"The scheme ""Revival and Rehabilitation Scheme for Defunct MSMEs and Cashew Processing Units"" envisages supporting defunct MSMEs in the manufacturing sector including cashew processing units through assistance in the form of capital grants and working capital incentives.","{""ews"":{""gte"":0,""lte"":100},""female"":{""gte"":0,""lte"":100},""general"":{""gte"":0,""lte"":100},""obc"":{""gte"":0,""lte"":100},""sc"":{""gte"":0,""lte"":100},""st"":{""gte"":0,""lte"":100},""widowed"":{""gte"":0,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,Entrepreneur
2,3,icar-pmsssstc,https://www.myscheme.gov.in/schemes/icar-pmsssstc,ICAR Post Matric Scholarship For Scheduled Caste / Scheduled Tribes Candidates,"Scholarship,Post Matric,Scheduled Caste,Scheduled Tribe,Agriculture",All,Education & Learning,"A post-matric scholarship scheme by the Indian Council of Agricultural Research (ICAR) for the Scheduled Castes / Scheduled Tribes candidates for study at Bachelor Degree program in various branches of Agriculture, viz. B.Sc.(Agri.), B.V.Sc., B.Sc.(Agril. Engg.), B.Sc.(Home Science).","{""ews"":{""gte"":14,""lte"":100},""female"":{""gte"":14,""lte"":100},""general"":{""gte"":14,""lte"":100},""obc"":{""gte"":14,""lte"":100},""sc"":{""gte"":14,""lte"":100},""st"":{""gte"":14,""lte"":100},""widowed"":{""gte"":14,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
3,4,alsias,https://www.myscheme.gov.in/schemes/alsias,Super IAS 500 Scholarship Manipur,"Scholarships,IAS,UPSC,Coaching,Civil Services",Manipur,Education & Learning,"The Super IAS 500 Scholarship is a state government initiative in Manipur to provide coaching and financial support to meritorious and brilliant IAS aspirants in the state, with the aim of making Civil Services training more accessible and affordable. ","{""ews"":{""gte"":18,""lte"":37},""female"":{""gte"":18,""lte"":37},""general"":{""gte"":18,""lte"":37},""obc"":{""gte"":18,""lte"":37},""sc"":{""gte"":18,""lte"":37},""st"":{""gte"":18,""lte"":37},""widowed"":{""gte"":18,""lte"":37}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
4,5,nacoip,https://www.myscheme.gov.in/schemes/nacoip,National AIDS Control Organisation (NACO) Internship Programme,"Student,Internship,Health,AIDS,NACO",All,Education & Learning,NACO initiated the Internship Programme for young students who wish to engage with the Government. The internship programme envisages an opportunity for young students to get familiar with and understand the various dimensions of policy-making & implementation of the National AIDS Control Programme.,"{""ews"":{""gte"":14,""lte"":100},""female"":{""gte"":14,""lte"":100},""general"":{""gte"":14,""lte"":100},""obc"":{""gte"":14,""lte"":100},""sc"":{""gte"":14,""lte"":100},""st"":{""gte"":14,""lte"":100},""widowed"":{""gte"":14,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,true,
5,6,pmscteoicphh,https://www.myscheme.gov.in/schemes/pmscteoicphh,Pre-Matric Scholarships to the Children of Those Engaged in Occupations Involving Cleaning and Prone to Health Hazards,"Scholarship,Pre-Matric,School,Education,Student",All,"Education & Learning,Social welfare & Empowerment","The objective of the scheme is to provide financial assistance to children whose parents/guardians belong to one of the following categories, to pursue Pre-Matric education: Tanners, Flayers, Waste Pickers and Persons who are either presently engaged in Manual Scavenging.","{""ews"":{""gte"":4,""lte"":100},""female"":{""gte"":4,""lte"":100},""general"":{""gte"":4,""lte"":100},""obc"":{""gte"":4,""lte"":100},""sc"":{""gte"":4,""lte"":100},""st"":{""gte"":4,""lte"":100},""widowed"":{""gte"":4,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,true,
6,7,fapfpfoobm,https://www.myscheme.gov.in/schemes/fapfpfoobm,Financial Assistance for Purchase of Fuel (Petrol) to the Fishermen for Operation of Out Board Motors,"Fishermen,Fish,Subsidy,Financial Assistance,Petrol",Goa,"Agriculture,Rural & Environment","The scheme “Financial Assistance for Purchase of Fuel (Petrol) to the Fishermen for Operation of Out Board Motors” is a scheme by the Department of Fisheries, Government of Goa. Through this scheme, a subsidy of ₹30 per Litre on a maximum consumption of 1700 Litre of Petrol is provided to fishermen.","{""ews"":{""gte"":18,""lte"":100},""female"":{""gte"":18,""lte"":100},""general"":{""gte"":18,""lte"":100},""obc"":{""gte"":18,""lte"":100},""sc"":{""gte"":18,""lte"":100},""st"":{""gte"":18,""lte"":100},""widowed"":{""gte"":18,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,Fishermen
7,8,skpsy,https://www.myscheme.gov.in/schemes/skpsy,Safai Karmakar Prasuti Sahayata Yojana,"Heath,Financial Assistance,Maternity Assistance",Chhattisgarh,Health & Wellness,"Chhattisgarh State Government started a scheme ""Safai Karmakar Prasuti Sahayata Yojana"" for unorganized worker on 11 March 2015.","{""ews"":{""gte"":18,""lte"":60},""female"":{""gte"":18,""lte"":60},""general"":{""gte"":18,""lte"":60},""obc"":{""gte"":18,""lte"":60},""sc"":{""gte"":18,""lte"":60},""st"":{""gte"":18,""lte"":60},""widowed"":{""gte"":18,""lte"":60}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
8,9,dan,https://www.myscheme.gov.in/schemes/dan,Delhi Arogya Nidhi,"Arogya,Nidhi,Health,Patient,Treatment",Delhi,Health & Wellness,Delhi Arogya Nidhi (DAN) is a scheme to provide financial assistance upto ₹1.5 lacs to needy patients who have National Food Security Cards for the treatment of diseases in Government hospitals only.,"{""ews"":{""gte"":0,""lte"":100},""female"":{""gte"":0,""lte"":100},""general"":{""gte"":0,""lte"":100},""obc"":{""gte"":0,""lte"":100},""sc"":{""gte"":0,""lte"":100},""st"":{""gte"":0,""lte"":100},""widowed"":{""gte"":0,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
9,10,bas,https://www.myscheme.gov.in/schemes/bas,Border Areas Scholarship,"Financial Assistance,Student,Scholarship,Subsidy",Meghalaya,Education & Learning,The Border Areas Development Department has launched the Border Area Scholarship Meghalaya so that the students residing in the Border areas specified by the Border Area Development Programme will be able to get scholarship amounts for undertaking a higher course of studies.,"{""ews"":{""gte"":1,""lte"":100},""female"":{""gte"":1,""lte"":100},""general"":{""gte"":1,""lte"":100},""obc"":{""gte"":1,""lte"":100},""sc"":{""gte"":1,""lte"":100},""st"":{""gte"":1,""lte"":100},""widowed"":{""gte"":1,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,true,
10,11,fss,https://www.myscheme.gov.in/schemes/fss,Film Finance Scheme,"Film,Funding,Filmmaker,Producers,Financial Assistance",Assam,Sports & Culture,The Film Finance Scheme of Assam is an initiative by the Assam government to support the development and growth of the film industry in the state. This scheme aims to provide financial assistance to filmmakers and production houses to encourage the production of quality films in Assam.,"{""ews"":{""gte"":0,""lte"":100},""female"":{""gte"":0,""lte"":100},""general"":{""gte"":0,""lte"":100},""obc"":{""gte"":0,""lte"":100},""sc"":{""gte"":0,""lte"":100},""st"":{""gte"":0,""lte"":100},""widowed"":{""gte"":0,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
11,12,dp-cmsguy,https://www.myscheme.gov.in/schemes/dp-cmsguy,Development Of Playfield Under CMSGUY,"Infrastructure,Development,School",Assam,Transport & Infrastructure,"""Development of Playfield"" is an Infrastructure Development Scheme by the Assam Youth Development Mission Society (AYDMS) formed under CMSGUY Scheme. It has been decided to develop 500 Football Playfields during 2017-18 in the first phase of operation of the scheme.","{""ews"":{""gte"":0,""lte"":100},""female"":{""gte"":0,""lte"":100},""general"":{""gte"":0,""lte"":100},""obc"":{""gte"":0,""lte"":100},""sc"":{""gte"":0,""lte"":100},""st"":{""gte"":0,""lte"":100},""widowed"":{""gte"":0,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
